,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
89,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,31-069,1990,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
90,Ben Davies\44781702,wls WAL,DF,Tottenham,28-236,1993,5.3,0,5,2,40.0,0.94,0.37,0.00,0.00,11.0,0,0,0,1.1,1.1,0.21,-1.1,-1.1,Matches
91,Tom Davies\9228b07c,eng ENG,MF,Everton,23-169,1998,1.8,1,6,2,33.3,3.42,1.14,0.17,0.50,16.4,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matches
92,Keinan Davis\9deaf2c8,eng ENG,FW,Aston Villa,23-306,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
93,Craig Dawson\3e9e06cb,eng ENG,DF,West Ham,31-224,1990,10.9,0,12,3,25.0,1.10,0.27,0.00,0.00,8.6,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
94,Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,30-171,1991,6.5,4,27,8,29.6,4.16,1.23,0.15,0.50,18.1,1,0,0,2.2,2.2,0.08,+1.8,+1.8,Matches
95,Troy Deeney\82e34b69,eng ENG,FW,Watford,33-170,1988,0.3,0,2,0,0.0,7.20,0.00,0.00,,9.0,0,0,0,0.4,0.4,0.20,-0.4,-0.4,Matches
96,Fabian Delph\111c3236,eng ENG,MF,Everton,32-025,1989,2.8,0,1,0,0.0,0.36,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
97,Leander Dendoncker\5a7301ae,be BEL,MFFW,Wolves,26-245,1995,6.7,0,6,2,33.3,0.89,0.30,0.00,0.00,20.3,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
98,Emmanuel Dennis\2c44a35d,ng NGA,FWMF,Watford,24-031,1997,13.0,7,32,17,53.1,2.47,1.31,0.22,0.41,14.7,2,0,0,3.9,3.9,0.12,+3.1,+3.1,Matches
